Gene stable ID,Gene name,Gene type
ENSAMXG00000019119,tbl1xr1a,protein_coding
ENSAMXG00000038786,,snoRNA
ENSAMXG00000038291,C10orf53,protein_coding
ENSAMXG00000037152,adora4a,protein_coding
ENSAMXG00000032344,twist3,protein_coding
ENSAMXG00000043028,grb2b,protein_coding
ENSAMXG00000018680,pear1,protein_coding
ENSAMXG00000007607,wnt11f2,protein_coding
ENSAMXG00000017000,lrp12,protein_coding
ENSAMXG00000034588,angpt2a,protein_coding
ENSAMXG00000033470,RAB15,protein_coding
ENSAMXG00000042063,,protein_coding
ENSAMXG00000012130,chata,protein_coding
ENSAMXG00000037784,,protein_coding
ENSAMXG00000003576,col4a2,protein_coding
ENSAMXG00000031594,U3,snoRNA
ENSAMXG00000000794,ufsp2,protein_coding
ENSAMXG00000002556,ngrn,protein_coding
ENSAMXG00000036086,igbp1,protein_coding
ENSAMXG00000041930,lmx1bb,protein_coding
ENSAMXG00000041812,ncbp2,protein_coding
ENSAMXG00000000781,ankrd37,protein_coding
ENSAMXG00000018659,lmna,protein_coding
ENSAMXG00000035809,,protein_coding
ENSAMXG00000031217,,protein_coding
ENSAMXG00000003895,,protein_coding
ENSAMXG00000042108,,protein_coding
ENSAMXG00000015970,,protein_coding
ENSAMXG00000030925,ccdc3b,protein_coding
ENSAMXG00000000772,cfap97,protein_coding
ENSAMXG00000043218,slc6a18,protein_coding
ENSAMXG00000037965,ncam1a,protein_coding
ENSAMXG00000001929,prpf6,protein_coding
ENSAMXG00000002573,sort1b,protein_coding
ENSAMXG00000008817,cux1a,protein_coding
ENSAMXG00000042647,,protein_coding
ENSAMXG00000000766,slc25a4,protein_coding
ENSAMXG00000044099,,protein_coding
ENSAMXG00000039235,,protein_coding
ENSAMXG00000040952,si:dkey-256e7.5,protein_coding
ENSAMXG00000041520,,protein_coding
ENSAMXG00000039349,adora4a,protein_coding
ENSAMXG00000034274,,protein_coding
ENSAMXG00000024869,hic1,protein_coding
ENSAMXG00000021388,,protein_coding
ENSAMXG00000043163,,protein_coding
ENSAMXG00000032497,,protein_coding
ENSAMXG00000005981,,protein_coding
ENSAMXG00000043034,,pseudogene
ENSAMXG00000037338,MAX,protein_coding
ENSAMXG00000036826,adora4a,protein_coding
ENSAMXG00000024928,,protein_coding
ENSAMXG00000029774,laynb,protein_coding
ENSAMXG00000037990,,protein_coding
ENSAMXG00000035706,,protein_coding
ENSAMXG00000008680,,protein_coding
ENSAMXG00000004516,bptf,protein_coding
ENSAMXG00000029293,,protein_coding
ENSAMXG00000043132,zgc:194209,protein_coding
ENSAMXG00000020274,nr1h4,protein_coding
ENSAMXG00000039031,,protein_coding
ENSAMXG00000002741,,protein_coding
ENSAMXG00000038076,,protein_coding
ENSAMXG00000040961,,protein_coding
ENSAMXG00000018321,zgc:162608,protein_coding
ENSAMXG00000007593,taf1,protein_coding
ENSAMXG00000036768,C4orf47,protein_coding
ENSAMXG00000033088,,protein_coding
ENSAMXG00000032180,cldnc,protein_coding
ENSAMXG00000043766,,protein_coding
ENSAMXG00000000752,si:dkey-256e7.5,protein_coding
ENSAMXG00000037656,ift52,protein_coding
ENSAMXG00000032288,,protein_coding
ENSAMXG00000043866,cx23,protein_coding
ENSAMXG00000001680,insra,protein_coding
ENSAMXG00000019229,xkr6b,protein_coding
ENSAMXG00000038854,taf5l,protein_coding
ENSAMXG00000035305,,protein_coding
ENSAMXG00000020283,si:ch211-219a15.4,protein_coding
ENSAMXG00000036368,adora4a,protein_coding
ENSAMXG00000013976,C5orf22,protein_coding
ENSAMXG00000025097,mc2r,protein_coding
ENSAMXG00000039275,,protein_coding
ENSAMXG00000035236,agpat5,protein_coding
ENSAMXG00000010316,kcnh2a,protein_coding
ENSAMXG00000034134,,protein_coding
ENSAMXG00000012623,SLC10A1,protein_coding
ENSAMXG00000005996,pdlim3b,protein_coding
ENSAMXG00000030485,KCNMB2,protein_coding
ENSAMXG00000003343,mast1a,protein_coding
ENSAMXG00000016074,bahcc1b,protein_coding
ENSAMXG00000025615,slc18a3a,protein_coding
ENSAMXG00000004314,adora4a,protein_coding
ENSAMXG00000008470,tsr1,protein_coding
ENSAMXG00000041643,mvb12bb,protein_coding
ENSAMXG00000039518,,protein_coding
ENSAMXG00000026350,mc4r,protein_coding
ENSAMXG00000018332,ttc12,protein_coding
ENSAMXG00000012607,,protein_coding
ENSAMXG00000042717,rgra,protein_coding
ENSAMXG00000024935,mc5rb,protein_coding
ENSAMXG00000031998,,protein_coding
ENSAMXG00000034680,,protein_coding
ENSAMXG00000007946,phka2,protein_coding
ENSAMXG00000019237,mtmr9,protein_coding
ENSAMXG00000032794,,protein_coding
ENSAMXG00000039314,tulp1b,protein_coding
ENSAMXG00000018649,fam210ab,protein_coding
ENSAMXG00000041410,,protein_coding
ENSAMXG00000010410,nmbr,protein_coding
ENSAMXG00000034280,lipia,protein_coding
ENSAMXG00000036935,lrit1a,protein_coding
ENSAMXG00000039475,helt,protein_coding
ENSAMXG00000008490,taok1a,protein_coding
ENSAMXG00000031600,,protein_coding
ENSAMXG00000034092,zgc:163121,protein_coding
ENSAMXG00000012590,mthfd1b,protein_coding
ENSAMXG00000037487,,protein_coding
ENSAMXG00000032046,tmem106c,protein_coding
ENSAMXG00000036492,,protein_coding
ENSAMXG00000018083,dnajc16,protein_coding
ENSAMXG00000017559,camk1b,protein_coding
ENSAMXG00000042327,RYR2,protein_coding
ENSAMXG00000018643,ldlrad4b,protein_coding
ENSAMXG00000016023,,protein_coding
ENSAMXG00000039350,,protein_coding
ENSAMXG00000035856,si:dkey-95p16.1,protein_coding
ENSAMXG00000016286,,protein_coding
ENSAMXG00000043884,tspan7,protein_coding
ENSAMXG00000039962,acsl1a,protein_coding
ENSAMXG00000040610,,protein_coding
ENSAMXG00000012033,dnaaf3l,protein_coding
ENSAMXG00000014913,PLCB4,protein_coding
ENSAMXG00000038052,GABRB2,protein_coding
ENSAMXG00000042914,kctd7,protein_coding
ENSAMXG00000025526,cited2,protein_coding
ENSAMXG00000039220,lrit2,protein_coding
ENSAMXG00000038846,,protein_coding
ENSAMXG00000036318,gsta.1,protein_coding
ENSAMXG00000018466,slc6a19a.1,protein_coding
ENSAMXG00000034221,,protein_coding
ENSAMXG00000039838,,protein_coding
ENSAMXG00000004497,kpna2,protein_coding
ENSAMXG00000025270,ost4,protein_coding
ENSAMXG00000033445,,protein_coding
ENSAMXG00000043256,,protein_coding
ENSAMXG00000030677,zgc:163080,protein_coding
ENSAMXG00000038451,si:ch73-303b9.1,protein_coding
ENSAMXG00000037046,,protein_coding
ENSAMXG00000006887,,protein_coding
ENSAMXG00000029537,,protein_coding
ENSAMXG00000036150,,protein_coding
ENSAMXG00000029431,cadm1a,protein_coding
ENSAMXG00000034828,rabgef1,protein_coding
ENSAMXG00000019242,tdh,protein_coding
ENSAMXG00000029642,samd10b,protein_coding
ENSAMXG00000043477,,protein_coding
ENSAMXG00000015994,,protein_coding
ENSAMXG00000035460,sypl2b,protein_coding
ENSAMXG00000003090,mybl2b,protein_coding
ENSAMXG00000035853,pofut2,protein_coding
ENSAMXG00000001704,,protein_coding
ENSAMXG00000043874,,protein_coding
ENSAMXG00000029983,,protein_coding
ENSAMXG00000016164,slc38a10,protein_coding
ENSAMXG00000010405,txlnba,protein_coding
ENSAMXG00000040946,srpx2,protein_coding
ENSAMXG00000002612,atxn7l2b,protein_coding
ENSAMXG00000043167,rpn2,protein_coding
ENSAMXG00000010330,map4l,protein_coding
ENSAMXG00000037329,,protein_coding
ENSAMXG00000030763,,protein_coding
ENSAMXG00000018455,SLC6A19,protein_coding
ENSAMXG00000018637,ptk2ab,protein_coding
ENSAMXG00000026090,msgn1,protein_coding
ENSAMXG00000029724,sc5d,protein_coding
ENSAMXG00000031938,nek4,protein_coding
ENSAMXG00000029384,,protein_coding
ENSAMXG00000033468,7SK,misc_RNA
ENSAMXG00000038497,rnf152,protein_coding
ENSAMXG00000031673,ube2na,protein_coding
ENSAMXG00000029396,,protein_coding
ENSAMXG00000009798,zmat3,protein_coding
ENSAMXG00000006003,sorbs2b,protein_coding
ENSAMXG00000026105,amigo1,protein_coding
ENSAMXG00000041053,mrps10,protein_coding
ENSAMXG00000033073,U5,snRNA
ENSAMXG00000035693,,protein_coding
ENSAMXG00000036771,,protein_coding
ENSAMXG00000025566,,protein_coding
ENSAMXG00000035033,7SK,misc_RNA
ENSAMXG00000030031,IYD,protein_coding
ENSAMXG00000030902,,protein_coding
ENSAMXG00000033976,,protein_coding
ENSAMXG00000038152,,protein_coding
ENSAMXG00000017538,spcs1,protein_coding
ENSAMXG00000017467,ZNF512B,protein_coding
ENSAMXG00000033157,anapc13,protein_coding
ENSAMXG00000012691,sept10,protein_coding
ENSAMXG00000034632,SMURF2,protein_coding
ENSAMXG00000012225,cdhr1a,protein_coding
ENSAMXG00000020301,nudt4a,protein_coding
ENSAMXG00000036349,,protein_coding
ENSAMXG00000037741,,protein_coding
ENSAMXG00000037020,,protein_coding
ENSAMXG00000031443,,protein_coding
ENSAMXG00000042766,heca,protein_coding
ENSAMXG00000016231,NDUFAF8,protein_coding
ENSAMXG00000009771,pik3ca,protein_coding
ENSAMXG00000042711,lrp10,protein_coding
ENSAMXG00000032352,U2,snRNA
ENSAMXG00000029767,U2,snRNA
ENSAMXG00000038348,gnptg,protein_coding
ENSAMXG00000018759,hibch,protein_coding
ENSAMXG00000039190,U2,snRNA
ENSAMXG00000041250,buc,protein_coding
ENSAMXG00000033562,,protein_coding
ENSAMXG00000015456,SYNDIG1,protein_coding
ENSAMXG00000042538,,protein_coding
ENSAMXG00000003778,polh,protein_coding
ENSAMXG00000039402,tead3b,protein_coding
ENSAMXG00000034939,,protein_coding
ENSAMXG00000039480,atg4da,protein_coding
ENSAMXG00000031669,,protein_coding
ENSAMXG00000034301,U2,snRNA
ENSAMXG00000034086,tsr3,protein_coding
ENSAMXG00000031028,CXorf58,protein_coding
ENSAMXG00000006521,,protein_coding
ENSAMXG00000001721,hiat1a,protein_coding
ENSAMXG00000001865,arhgap35b,protein_coding
ENSAMXG00000014043,RNF31,protein_coding
ENSAMXG00000033438,,protein_coding
ENSAMXG00000034672,si:dkey-54n8.2,protein_coding
ENSAMXG00000004877,arhgap32b,protein_coding
ENSAMXG00000033354,mmp14a,protein_coding
ENSAMXG00000001364,gapvd1,protein_coding
ENSAMXG00000042381,selenoi,protein_coding
ENSAMXG00000038828,,protein_coding
ENSAMXG00000038305,abracl,protein_coding
ENSAMXG00000001212,sytl4,protein_coding
ENSAMXG00000042367,,protein_coding
ENSAMXG00000008124,hsf2bp,protein_coding
ENSAMXG00000038109,lurap1,protein_coding
ENSAMXG00000034918,ankk1,protein_coding
ENSAMXG00000008522,mmp20b,protein_coding
ENSAMXG00000017490,uckl1b,protein_coding
ENSAMXG00000010333,git1,protein_coding
ENSAMXG00000038652,,protein_coding
ENSAMXG00000006877,apooa,protein_coding
ENSAMXG00000012001,pdpk1b,protein_coding
ENSAMXG00000039601,,protein_coding
ENSAMXG00000041681,mrpl52,protein_coding
ENSAMXG00000043661,,protein_coding
ENSAMXG00000010184,ttc22,protein_coding
ENSAMXG00000042380,,protein_coding
ENSAMXG00000038770,mmp20a,protein_coding
ENSAMXG00000020316,eea1,protein_coding
ENSAMXG00000018359,drd2a,protein_coding
ENSAMXG00000034144,,protein_coding
ENSAMXG00000003875,ajuba,protein_coding
ENSAMXG00000040767,TMEM19,protein_coding
ENSAMXG00000010394,slc25a27,protein_coding
ENSAMXG00000042513,XKR4,protein_coding
ENSAMXG00000042759,ccdc9b,protein_coding
ENSAMXG00000040169,,protein_coding
ENSAMXG00000037701,,protein_coding
ENSAMXG00000010180,ttc4,protein_coding
ENSAMXG00000031509,,protein_coding
ENSAMXG00000034606,si:ch211-139a5.9,protein_coding
ENSAMXG00000036892,acin1b,protein_coding
ENSAMXG00000008546,npat,protein_coding
ENSAMXG00000030187,,protein_coding
ENSAMXG00000012680,sowahca,protein_coding
ENSAMXG00000016241,tepsin,protein_coding
ENSAMXG00000038939,ankrd13b,protein_coding
ENSAMXG00000041561,,protein_coding
ENSAMXG00000008852,ppm1e,protein_coding
ENSAMXG00000037301,,snoRNA
ENSAMXG00000034038,casp3a,protein_coding
ENSAMXG00000008716,,protein_coding
ENSAMXG00000036388,,protein_coding
ENSAMXG00000003077,ghrh,protein_coding
ENSAMXG00000043292,tmprss13b,protein_coding
ENSAMXG00000017494,zbtb46,protein_coding
ENSAMXG00000019248,pinx1,protein_coding
ENSAMXG00000033692,,protein_coding
ENSAMXG00000038761,,protein_coding
ENSAMXG00000032299,rab21,protein_coding
ENSAMXG00000030666,INAFM2,protein_coding
ENSAMXG00000003838,efs,protein_coding
ENSAMXG00000037156,akap17a,protein_coding
ENSAMXG00000014074,tmem68,protein_coding
ENSAMXG00000039248,actr2a,protein_coding
ENSAMXG00000003071,CDK5RAP1,protein_coding
ENSAMXG00000018743,mstnb,protein_coding
ENSAMXG00000030409,sox7,protein_coding
ENSAMXG00000040060,fgfrl1b,protein_coding
ENSAMXG00000001747,myo9b,protein_coding
ENSAMXG00000004854,igsf9bb,protein_coding
ENSAMXG00000035108,,protein_coding
ENSAMXG00000037953,ppp1r14c,protein_coding
ENSAMXG00000039929,,protein_coding
ENSAMXG00000034471,grb2a,protein_coding
ENSAMXG00000014086,lyn,protein_coding
ENSAMXG00000036821,rhogc,protein_coding
ENSAMXG00000031357,stk16,protein_coding
ENSAMXG00000034266,ptrhd1,protein_coding
ENSAMXG00000038473,,protein_coding
ENSAMXG00000041374,si:ch73-217b7.1,protein_coding
ENSAMXG00000004466,ddx5,protein_coding
ENSAMXG00000033760,scn3b,protein_coding
ENSAMXG00000036924,zmp:0000000912,protein_coding
ENSAMXG00000001840,,protein_coding
ENSAMXG00000043953,fhod3a,protein_coding
ENSAMXG00000032318,PLCB2,protein_coding
ENSAMXG00000029676,5S_rRNA,rRNA
ENSAMXG00000018711,pms1,protein_coding
ENSAMXG00000036720,gabra6b,protein_coding
ENSAMXG00000013614,smpd2b,protein_coding
ENSAMXG00000014907,TPO,protein_coding
ENSAMXG00000010390,ncoa1,protein_coding
ENSAMXG00000025984,xcr1a.1,protein_coding
ENSAMXG00000037866,5S_rRNA,rRNA
ENSAMXG00000041096,asmt,protein_coding
ENSAMXG00000044101,,protein_coding
ENSAMXG00000041515,,protein_coding
ENSAMXG00000038900,,protein_coding
ENSAMXG00000011993,,protein_coding
ENSAMXG00000033557,ormdl1,protein_coding
ENSAMXG00000003037,,protein_coding
ENSAMXG00000001828,scn4bb,protein_coding
ENSAMXG00000030792,blk,protein_coding
ENSAMXG00000032207,,protein_coding
ENSAMXG00000030467,tuba8l2,protein_coding
ENSAMXG00000003836,dhrs4,protein_coding
ENSAMXG00000038111,pkp1b,protein_coding
ENSAMXG00000040366,trmt12,protein_coding
ENSAMXG00000032999,,protein_coding
ENSAMXG00000029416,,protein_coding
ENSAMXG00000040971,mpzl2b,protein_coding
ENSAMXG00000008853,rad51c,protein_coding
ENSAMXG00000010176,usp40,protein_coding
ENSAMXG00000042559,glt8d1,protein_coding
ENSAMXG00000038606,mchr1a,protein_coding
ENSAMXG00000034323,si:dkey-21c1.1,protein_coding
ENSAMXG00000038922,,protein_coding
ENSAMXG00000003444,spred2a,protein_coding
ENSAMXG00000017495,lmod3,protein_coding
ENSAMXG00000001210,rnaseh2c,protein_coding
ENSAMXG00000025110,adat3,protein_coding
ENSAMXG00000034046,,protein_coding
ENSAMXG00000033356,ptprr,protein_coding
ENSAMXG00000030775,tnnt2b,protein_coding
ENSAMXG00000039553,naa10,protein_coding
ENSAMXG00000037181,ssh2a,protein_coding
ENSAMXG00000007384,NRGN,protein_coding
ENSAMXG00000038595,si:ch73-290k24.6,protein_coding
ENSAMXG00000018686,osgepl1,protein_coding
ENSAMXG00000030539,pafah1b2,protein_coding
ENSAMXG00000008639,iqcd,protein_coding
ENSAMXG00000038246,sat1a.2,protein_coding
ENSAMXG00000033174,,protein_coding
ENSAMXG00000017509,g6pd,protein_coding
ENSAMXG00000043927,cyp17a2,protein_coding
ENSAMXG00000031406,ube2ib,protein_coding
ENSAMXG00000033947,si:ch211-225b7.5,protein_coding
ENSAMXG00000006019,fam149a,protein_coding
ENSAMXG00000001406,arsh,protein_coding
ENSAMXG00000044033,zbtb3,protein_coding
ENSAMXG00000040140,si:dkey-21c1.4,protein_coding
ENSAMXG00000039994,,protein_coding
ENSAMXG00000003001,,protein_coding
ENSAMXG00000026054,unm_hu7912,protein_coding
ENSAMXG00000005864,gabra1,protein_coding
ENSAMXG00000031782,pglyrp6,protein_coding
ENSAMXG00000018373,hepacama,protein_coding
ENSAMXG00000003504,rab20,protein_coding
ENSAMXG00000033820,lsm11,protein_coding
ENSAMXG00000010342,slc6a4a,protein_coding
ENSAMXG00000037981,,protein_coding
ENSAMXG00000008564,hif1al,protein_coding
ENSAMXG00000016323,bicral,protein_coding
ENSAMXG00000001381,syn1,protein_coding
ENSAMXG00000041157,gstr,protein_coding
ENSAMXG00000020880,gnl3,protein_coding
ENSAMXG00000003454,meis1a,protein_coding
ENSAMXG00000044110,,protein_coding
ENSAMXG00000032456,,protein_coding
ENSAMXG00000037570,prdx4,protein_coding
ENSAMXG00000034349,,protein_coding
ENSAMXG00000014106,lyn,protein_coding
ENSAMXG00000003485,naxd,protein_coding
ENSAMXG00000001430,mxra5b,protein_coding
ENSAMXG00000009749,armh3,protein_coding
ENSAMXG00000040230,chst3a,protein_coding
ENSAMXG00000003829,tinf2,protein_coding
ENSAMXG00000001202,clint1a,protein_coding
ENSAMXG00000040411,,protein_coding
ENSAMXG00000039392,si:ch211-194b1.1,protein_coding
ENSAMXG00000018670,ankar,protein_coding
ENSAMXG00000001789,apoa1a,protein_coding
ENSAMXG00000017325,pbrm1,protein_coding
ENSAMXG00000012802,gabrg2,protein_coding
ENSAMXG00000034390,jam3b,protein_coding
ENSAMXG00000030122,fndc4a,protein_coding
ENSAMXG00000041263,blmh,protein_coding
ENSAMXG00000006024,cyp4v7,protein_coding
ENSAMXG00000008592,zgc:152863,protein_coding
ENSAMXG00000014447,atp5pf,protein_coding
ENSAMXG00000038636,,protein_coding
ENSAMXG00000030340,egr4,protein_coding
ENSAMXG00000019264,si:dkey-71h2.2,protein_coding
ENSAMXG00000011966,cog7,protein_coding
ENSAMXG00000036804,plp1b,protein_coding
ENSAMXG00000015435,,protein_coding
ENSAMXG00000001769,si:ch211-139a5.1,protein_coding
ENSAMXG00000038826,GTPBP2,protein_coding
ENSAMXG00000033357,pax2a,protein_coding
ENSAMXG00000043187,tnni1b,protein_coding
ENSAMXG00000043411,,protein_coding
ENSAMXG00000035852,RFFL,protein_coding
ENSAMXG00000042591,rpl7l1,protein_coding
ENSAMXG00000030503,tbcc,protein_coding
ENSAMXG00000031627,,protein_coding
ENSAMXG00000036730,,protein_coding
ENSAMXG00000017536,,protein_coding
ENSAMXG00000019266,si:ch211-278j3.3,protein_coding
ENSAMXG00000035787,pdha1a,protein_coding
ENSAMXG00000034067,,protein_coding
ENSAMXG00000039974,,protein_coding
ENSAMXG00000041129,jam2a,protein_coding
ENSAMXG00000030506,prph2a,protein_coding
ENSAMXG00000001444,,protein_coding
ENSAMXG00000014894,sntg2,protein_coding
ENSAMXG00000007571,nlgn3b,protein_coding
ENSAMXG00000033985,znf513a,protein_coding
ENSAMXG00000029025,,protein_coding
ENSAMXG00000041200,,protein_coding
ENSAMXG00000034248,lepb,protein_coding
ENSAMXG00000008603,pak4,protein_coding
ENSAMXG00000034155,,protein_coding
ENSAMXG00000035694,zgc:158464,protein_coding
ENSAMXG00000010379,slc5a6a,protein_coding
ENSAMXG00000031456,,protein_coding
ENSAMXG00000042623,qki2,protein_coding
ENSAMXG00000014610,mrpl39,protein_coding
ENSAMXG00000040426,,protein_coding
ENSAMXG00000031677,csrp1b,protein_coding
ENSAMXG00000034296,urod,protein_coding
ENSAMXG00000006148,dixdc1b,protein_coding
ENSAMXG00000019269,snx17,protein_coding
ENSAMXG00000042719,,pseudogene
ENSAMXG00000018629,DENND3,protein_coding
ENSAMXG00000038571,,protein_coding
ENSAMXG00000018380,pde9al,protein_coding
ENSAMXG00000033231,,protein_coding
ENSAMXG00000033932,,protein_coding
ENSAMXG00000040178,etaa1,protein_coding
ENSAMXG00000001200,ebf3a,protein_coding
ENSAMXG00000025413,KCND3,protein_coding
ENSAMXG00000034288,,protein_coding
ENSAMXG00000036374,ephx1,protein_coding
ENSAMXG00000033604,nova2,protein_coding
ENSAMXG00000024321,ptprb,protein_coding
ENSAMXG00000038029,vgll4l,protein_coding
ENSAMXG00000008628,aifm4,protein_coding
ENSAMXG00000033383,,protein_coding
ENSAMXG00000035649,,protein_coding
ENSAMXG00000037817,,protein_coding
ENSAMXG00000018626,slc45a4b,protein_coding
ENSAMXG00000031379,atg101,protein_coding
ENSAMXG00000037278,,protein_coding
ENSAMXG00000026084,MYADM,protein_coding
ENSAMXG00000003472,eaf2,protein_coding
ENSAMXG00000043778,cd3eap,protein_coding
ENSAMXG00000029358,apmap,protein_coding
ENSAMXG00000005566,ubl7b,protein_coding
ENSAMXG00000038683,mtnr1ab,protein_coding
ENSAMXG00000043536,,protein_coding
ENSAMXG00000041800,ANKRD63,protein_coding
ENSAMXG00000035535,OTOR,protein_coding
ENSAMXG00000031984,gpr20,protein_coding
ENSAMXG00000029421,tmem151bb,protein_coding
ENSAMXG00000035411,nlgn4xb,protein_coding
ENSAMXG00000038536,,protein_coding
ENSAMXG00000012551,pak6a,protein_coding
ENSAMXG00000025587,gpr4,protein_coding
ENSAMXG00000000662,nav1b,protein_coding
ENSAMXG00000038891,INKA2,protein_coding
ENSAMXG00000035139,asdurf,protein_coding
ENSAMXG00000043139,,protein_coding
ENSAMXG00000030796,,protein_coding
ENSAMXG00000001765,ftr66,protein_coding
ENSAMXG00000037012,dgat1b,protein_coding
ENSAMXG00000019510,poglut3,protein_coding
ENSAMXG00000008857,ZBTB21,protein_coding
ENSAMXG00000031065,,protein_coding
ENSAMXG00000032729,rab42a,protein_coding
ENSAMXG00000037309,,protein_coding
ENSAMXG00000009071,rap1ab,protein_coding
ENSAMXG00000029738,,protein_coding
ENSAMXG00000010350,eml2,protein_coding
ENSAMXG00000005646,slc20a1a,protein_coding
ENSAMXG00000019854,vdra,protein_coding
ENSAMXG00000037501,TMEM184B,protein_coding
ENSAMXG00000004419,,protein_coding
ENSAMXG00000014153,zswim5,protein_coding
ENSAMXG00000010366,srp9,protein_coding
ENSAMXG00000038250,timm23a,protein_coding
ENSAMXG00000038222,pcsk2,protein_coding
ENSAMXG00000021450,adam11,protein_coding
ENSAMXG00000037207,C14orf132,protein_coding
ENSAMXG00000011957,kcnc3b,protein_coding
ENSAMXG00000038084,,snoRNA
ENSAMXG00000029608,,protein_coding
ENSAMXG00000032891,,pseudogene
ENSAMXG00000041706,,protein_coding
ENSAMXG00000010360,henmt1,protein_coding
ENSAMXG00000030673,gria3a,protein_coding
ENSAMXG00000030135,tagln2,protein_coding
ENSAMXG00000040052,dclk2b,protein_coding
ENSAMXG00000014679,,protein_coding
ENSAMXG00000026334,BDKRB2,protein_coding
ENSAMXG00000040369,,protein_coding
ENSAMXG00000001788,nfatc4,protein_coding
ENSAMXG00000003468,si:dkey-91i10.3,protein_coding
ENSAMXG00000040313,BFSP1,protein_coding
ENSAMXG00000018655,zgc:136439,protein_coding
ENSAMXG00000035174,oafa,protein_coding
ENSAMXG00000038266,BDKRB2,protein_coding
ENSAMXG00000033774,5S_rRNA,rRNA
ENSAMXG00000005586,cd276,protein_coding
ENSAMXG00000032379,NT5C3B,protein_coding
ENSAMXG00000008862,,protein_coding
ENSAMXG00000038735,rnf145a,protein_coding
ENSAMXG00000012526,bub1bb,protein_coding
ENSAMXG00000014688,mrpl16,protein_coding
ENSAMXG00000031327,ptger1b,protein_coding
ENSAMXG00000019272,atraid,protein_coding
ENSAMXG00000041269,rps6ka3a,protein_coding
ENSAMXG00000009007,pank4,protein_coding
ENSAMXG00000029797,cuedc2,protein_coding
ENSAMXG00000034137,,protein_coding
ENSAMXG00000035721,fam102bb,protein_coding
ENSAMXG00000003741,,protein_coding
ENSAMXG00000030511,tlcd5a,protein_coding
ENSAMXG00000037002,,protein_coding
ENSAMXG00000017141,rpn1,protein_coding
ENSAMXG00000009728,tmem208,protein_coding
ENSAMXG00000001475,ANOS1,protein_coding
ENSAMXG00000030811,slc40a1,protein_coding
ENSAMXG00000016494,zgc:112285,protein_coding
ENSAMXG00000003822,cideb,protein_coding
ENSAMXG00000026333,bdkrb1,protein_coding
ENSAMXG00000001321,CSNK1E,protein_coding
ENSAMXG00000031289,,protein_coding
ENSAMXG00000043323,,protein_coding
ENSAMXG00000026840,U2,snRNA
ENSAMXG00000032555,,protein_coding
ENSAMXG00000019282,eif2b4,protein_coding
ENSAMXG00000040743,,snoRNA
ENSAMXG00000007869,fat1b,protein_coding
ENSAMXG00000007153,nlrc3,protein_coding
ENSAMXG00000026719,,snoRNA
ENSAMXG00000040931,5S_rRNA,rRNA
ENSAMXG00000043543,,pseudogene
ENSAMXG00000029182,,protein_coding
ENSAMXG00000026963,,snoRNA
ENSAMXG00000003816,homezb,protein_coding
ENSAMXG00000010353,gipr,protein_coding
ENSAMXG00000041849,si:dkey-217f16.6,protein_coding
ENSAMXG00000034139,,protein_coding
ENSAMXG00000036914,5S_rRNA,rRNA
ENSAMXG00000041112,,protein_coding
ENSAMXG00000020352,plekhg7,protein_coding
ENSAMXG00000039764,cnrip1a,protein_coding
ENSAMXG00000019527,tmprss15,protein_coding
ENSAMXG00000009648,ctps1a,protein_coding
ENSAMXG00000025848,thap11,protein_coding
ENSAMXG00000039955,,protein_coding
ENSAMXG00000008868,map6a,protein_coding
ENSAMXG00000003753,,protein_coding
ENSAMXG00000033750,,protein_coding
ENSAMXG00000043545,hif1an,protein_coding
ENSAMXG00000026092,RAI2,protein_coding
ENSAMXG00000003731,,protein_coding
ENSAMXG00000042624,SCRT1,protein_coding
ENSAMXG00000008870,mogat2,protein_coding
ENSAMXG00000036657,rcn1,protein_coding
ENSAMXG00000036722,txnl4b,protein_coding
ENSAMXG00000003462,slc15a2,protein_coding
ENSAMXG00000025211,,protein_coding
ENSAMXG00000033677,,protein_coding
ENSAMXG00000005684,snrnp200,protein_coding
ENSAMXG00000007559,,protein_coding
ENSAMXG00000032439,rbm11,protein_coding
ENSAMXG00000018410,arhgef12a,protein_coding
ENSAMXG00000016031,,protein_coding
ENSAMXG00000043348,,protein_coding
ENSAMXG00000001825,,protein_coding
ENSAMXG00000010357,,protein_coding
ENSAMXG00000037425,insyn1,protein_coding
ENSAMXG00000042279,ube2g2,protein_coding
ENSAMXG00000012507,,protein_coding
ENSAMXG00000034099,,protein_coding
ENSAMXG00000036333,znf710b,protein_coding
ENSAMXG00000043086,,protein_coding
ENSAMXG00000007155,cluap1,protein_coding
ENSAMXG00000004362,COG5,protein_coding
ENSAMXG00000040860,,protein_coding
ENSAMXG00000043714,dnajc12,protein_coding
ENSAMXG00000018606,wdr75,protein_coding
ENSAMXG00000034730,,protein_coding
ENSAMXG00000036487,,protein_coding
ENSAMXG00000041092,,protein_coding
ENSAMXG00000014203,si:ch73-382f3.1,protein_coding
ENSAMXG00000043331,,protein_coding
ENSAMXG00000001197,il12ba,protein_coding
ENSAMXG00000003723,cox5b2,protein_coding
ENSAMXG00000035079,gata2a,protein_coding
ENSAMXG00000016526,syt15,protein_coding
ENSAMXG00000030400,tmed3,protein_coding
ENSAMXG00000003445,hspbap1,protein_coding
ENSAMXG00000003120,ltb4r2b,protein_coding
ENSAMXG00000014749,trmt10c,protein_coding
ENSAMXG00000018592,mroh1,protein_coding
ENSAMXG00000036146,,protein_coding
